"November 30 - December 30, 2024"
channel,title,url,view_count,like_count
Mark Tilbury,HOW RICH PEOPLE AVOID PAYING TAX,https://www.youtube.com/shorts/rSECQaHajEw,5558978,364985
Mark Tilbury,How to Buy Your First Car,https://www.youtube.com/shorts/vnMF5zADvxs,4427257,175340
Mark Tilbury,Investing Tips for Beginners,https://www.youtube.com/shorts/1OF53QNbMrE,3243670,210633
Ankur Warikoo,4 Movies on MONEY - The numbers will SHOCK you! | Ankur Warikoo #shorts,https://www.youtube.com/shorts/XMT3-dzP3yM,2241559,214011
Mark Tilbury,Credit Card vs. Debit Card,https://www.youtube.com/shorts/X5lleo6at1M,1638820,91338
Ankur Warikoo,Shah Rukh Khan ka BEST ANSWER! | Ankur Warikoo #shorts,https://www.youtube.com/shorts/a7a0FcYkIiM,1580891,133104
Mark Tilbury,MONEY ISN’T EVERYTHING,https://www.youtube.com/shorts/AUppObAMOIc,1570889,126905
The Finance Engineer,Microsoft Loses Money on Xbox? 🎮 #shorts #finance,https://www.youtube.com/shorts/GlXXug9B4WE,1549905,169909
Mark Tilbury,How to PROPERLY Use a Credit Card,https://www.youtube.com/shorts/ZbNHLpOUqSQ,1473178,95614
Mark Tilbury,5 Things i’d NEVER do as a Millionaire,https://www.youtube.com/shorts/hgib0E9-eXI,1375714,71438
Mark Tilbury,CONFRONTING A CHEAP MILLIONAIRE,https://www.youtube.com/shorts/fDsq5MwO7rY,1044602,64038
Mark Tilbury,The Power of Compound Interest,https://www.youtube.com/shorts/FgQoqStpYs8,857768,47576
Mark Tilbury,How to Choose Your First Bank,https://www.youtube.com/shorts/TE0HdokIb8E,666715,39510
Ankur Warikoo,1KG GOLD se Kitne KG Silver Khareed Sakte Ho? | Ankur Warikoo #shorts,https://www.youtube.com/shorts/EQCpa3rnf6Q,540598,42943
Ankur Warikoo,Buy a car - EASILY! Loan vs Lease vs Subscribe! | Ankur Warikoo #shorts,https://www.youtube.com/shorts/hj6To6AZ-4Q,502862,30624
Ankur Warikoo,Petrol SCOOTER sahi lag rahi hain ya EV?! | Ankur Warikoo #shorts,https://www.youtube.com/shorts/aeuX0zFCvL0,397832,21407
Nischa,Never do this with your money! #moneytips #financetips #shorts,https://www.youtube.com/shorts/_EazHEH1Ir0,322327,8933
