"November 30 - December 30, 2024"
channel,title,url,view_count,like_count,duration
Ankur Warikoo,How to INVEST in MUTUAL FUNDS in 2025 | Ankur Warikoo Hindi,https://www.youtube.com/watch?v=rcA2PycBQr4,872732,22265,PT27M14S
Andrei Jikh,"Ripple Explained: What You Need to Know About XRP, RLUSD, and Ripple’s $25M Power Play",https://www.youtube.com/watch?v=ma1tXWLkFQ4,794280,27089,PT17M9S
Nischa,5 Things I Did To Stop Wasting My Evenings After Work,https://www.youtube.com/watch?v=g3S3Et69ni4,741923,22569,PT9M23S
Mark Tilbury,Passive Income: How I Started Dropshipping From Scratch (STEP BY STEP),https://www.youtube.com/watch?v=xfOT2elC2Ok,514709,15445,PT19M37S
Ankur Warikoo,"2025 Success RESOLUTIONS: Money, Career, Health and Relationships! | Ankur Warikoo Hindi",https://www.youtube.com/watch?v=KxduWfMHV38,410975,14789,PT31M44S
Nischa,Never do this with your money! #moneytips #financetips #shorts,https://www.youtube.com/watch?v=_EazHEH1Ir0,322399,8934,PT1M1S
Ankur Warikoo,"WAKE-UP CALL Before 2025! | ""Agla Saal Alag Hoga"" NAHI HOGA! | Ankur Warikoo Hindi",https://www.youtube.com/watch?v=quVDoF7F-KY,284641,15465,PT21M5S
Andrei Jikh,You’re Now A Bitcoin Investor — Thanks To This MAJOR Change,https://www.youtube.com/watch?v=5IC6-OS6Nv0,243713,9733,PT14M13S
Andrei Jikh,Google’s Willow vs Bitcoin: Are Your Coins Safe?,https://www.youtube.com/watch?v=olJ7eI_Co7w,243392,10815,PT17M46S
Ankur Warikoo,Money is NOT the ONLY UNFAIR CURRENCY! | Ankur Warikoo Hindi,https://www.youtube.com/watch?v=jw7rmppxyKI,223831,9940,PT15M26S
Mark Tilbury,How to Invest for Beginners in 2025,https://www.youtube.com/watch?v=Ay4fmZdZqJE,222743,8081,PT21M25S
Ankur Warikoo,Managing INVESTMENTS and a LOAN | Money Matters Ep. 40 | Ankur Warikoo Hindi,https://www.youtube.com/watch?v=F2SUM1-WbaQ,213496,3610,PT38M29S
